date,actual,baseline_pred,prophet_pred,sarima_pred,lgbm_pred,xgb_pred
2011-04-01,2227.0,,2302.0944042856836,,,
2011-04-02,2252.0,,2614.9783055763314,,,
2011-04-03,3249.0,,2975.82173140009,,,
2011-04-04,3115.0,,4176.471329192013,,,
2011-04-05,1795.0,,2807.8392671184024,,,
2011-04-06,2808.0,,3260.4509584914426,,,
2011-04-07,3141.0,,3262.589345816762,,,
2011-04-08,1471.0,,2204.914120981389,,,
2011-04-09,2455.0,,2261.8128205859102,,,
2011-04-10,2895.0,,2261.5943983392926,,,
2011-04-11,3348.0,,3600.3440303926977,,,
2011-04-12,2034.0,,3099.4007620074517,,,
2011-04-13,2162.0,,2508.5826230376674,,,
2011-04-14,3267.0,,3759.7115902424557,,,
2011-04-15,3126.0,,3133.0272475991314,,,
2011-04-16,795.0,,2801.2696288958755,,,
2011-04-17,3744.0,,3684.1281908656933,,,
2011-04-18,3429.0,,3910.3351515092936,,,
2011-04-19,3204.0,,3497.6353096284824,,,
2011-05-01,3351.0,,3100.5090038046005,,,
2011-05-02,4401.0,,3786.3143581678046,,,
2011-05-03,4451.0,,4160.05967524086,,,
2011-05-04,2633.0,,3168.977566262031,,,
2011-05-05,4433.0,,4404.540431655791,,,
2011-05-06,4608.0,,4138.346943675348,,,
2011-05-07,4714.0,,4599.509475689485,,,
2011-05-08,4333.0,,3915.8970345767684,,,
2011-05-09,4362.0,,4207.75838843084,,,
2011-05-10,4803.0,,4468.629436741503,,,
2011-05-11,4182.0,,4122.003993439635,,,
2011-05-12,4864.0,,3911.981782537774,,,
2011-05-13,4105.0,,3536.967502504699,,,
2011-05-14,3409.0,,3527.0434930804977,,,
2011-05-15,4553.0,,3417.9391277668046,,,
2011-05-16,3958.0,,3859.402264610315,,,
2011-05-17,4123.0,,3601.0757948820224,,,
2011-05-18,3855.0,,3480.367767854169,,,
2011-05-19,4575.0,,3669.227942163924,,,
2011-06-01,3974.0,,4936.755953300746,,,
2011-06-02,4968.0,,5958.650568802941,,,
2011-06-03,5312.0,,5436.837763431384,,,
2011-06-04,5342.0,,5313.242569580184,,,
2011-06-05,4906.0,,4316.817023825799,,,
2011-06-06,4548.0,,4730.749975714305,,,
2011-06-07,4833.0,,4812.8523393153655,,,
2011-06-08,4401.0,,5060.136263537861,,,
2011-06-09,3915.0,,5505.849083407491,,,
2011-06-10,4586.0,,5204.843414525044,,,
2011-06-11,4966.0,,5030.203346864002,,,
2011-06-12,4460.0,,4128.082598485651,,,
2011-06-13,5020.0,,4738.091832659525,,,
2011-06-14,4891.0,,4504.26596360099,,,
2011-06-15,5180.0,,4718.650291025153,,,
2011-06-16,3767.0,,4224.861721934895,,,
2011-06-17,4844.0,,4223.823673740213,,,
2011-06-18,5119.0,,4735.9781240912835,,,
2011-06-19,4744.0,,4276.680623591204,,,
2011-07-01,5362.0,,5316.305845279678,,,
2011-07-02,5119.0,,5352.56535879504,,,
2011-07-03,4649.0,,4073.995350519826,,,
2011-07-04,6043.0,,4140.240784962601,,,
2011-07-05,4665.0,,4549.586152717191,,,
2011-07-06,4629.0,,3990.6865756872803,,,
2011-07-07,4592.0,,4541.0914049182975,,,
2011-07-08,4040.0,,4093.5050566531427,,,
2011-07-09,5336.0,,4753.252370075616,,,
2011-07-10,4881.0,,4433.81845030617,,,
2011-07-11,4086.0,,4459.439786598086,,,
2011-07-12,4258.0,,4778.325770533539,,,
2011-07-13,4342.0,,4367.975666384467,,,
2011-07-14,5084.0,,4679.016190288458,,,
2011-07-15,5538.0,,4317.145738617623,,,
2011-07-16,5923.0,,4557.82213046448,,,
2011-07-17,5302.0,,4178.89547115914,,,
2011-07-18,4458.0,,4297.303864711987,,,
2011-07-19,4541.0,,4390.66270602101,,,
2011-08-01,4266.0,,4748.5592591651475,,,
2011-08-02,4845.0,,4945.869350591927,,,
2011-08-03,3574.0,,4258.963382089862,,,
2011-08-04,4576.0,,4033.7701990150335,,,
2011-08-05,4866.0,,4487.137427006516,,,
2011-08-06,4294.0,,4283.063897991897,,,
2011-08-07,3785.0,,3955.9458916581634,,,
2011-08-08,4326.0,,4684.758196849041,,,
2011-08-09,4602.0,,4768.465701764539,,,
2011-08-10,4780.0,,5205.093614183604,,,
2011-08-11,4792.0,,5158.1566458098205,,,
2011-08-12,4905.0,,5223.729278890374,,,
2011-08-13,4150.0,,4335.075439622425,,,
2011-08-14,3820.0,,3589.6796007840403,,,
2011-08-15,4338.0,,4009.6378928429185,,,
2011-08-16,4725.0,,4541.493728703309,,,
2011-08-17,4694.0,,4698.147795088023,,,
2011-08-18,3805.0,,4589.265245969001,,,
2011-08-19,4153.0,,4352.424519536351,,,
2011-09-01,5115.0,,4712.269556072827,,,
2011-09-02,4727.0,,4487.530914603873,,,
2011-09-03,4484.0,,4781.687076410636,,,
2011-09-04,4940.0,,4446.957054416176,,,
2011-09-05,3351.0,,4070.5269886545693,,,
2011-09-06,2710.0,,3401.463007204865,,,
2011-09-07,1996.0,,3627.926406477484,,,
2011-09-08,1842.0,,3896.845079395336,,,
2011-09-09,3544.0,,4177.870622134451,,,
2011-09-10,5345.0,,4793.643720551463,,,
2011-09-11,5046.0,,4439.68227006303,,,
2011-09-12,4713.0,,4621.80661787711,,,
2011-09-13,4763.0,,4570.672690657084,,,
2011-09-14,4785.0,,4763.493630699107,,,
2011-09-15,3659.0,,4471.946005664278,,,
2011-09-16,4760.0,,4416.960122738663,,,
2011-09-17,4511.0,,4281.896636876824,,,
2011-09-18,4274.0,,3976.0779691010025,,,
2011-09-19,4539.0,,4333.153055262686,,,
2011-10-01,2429.0,,3990.818500823711,,,
2011-10-02,2918.0,,3181.6744997217456,,,
2011-10-03,3570.0,,3539.9861507744913,,,
2011-10-04,4456.0,,4104.210032629364,,,
2011-10-05,4826.0,,4561.288034531779,,,
2011-10-06,4765.0,,4601.597989607399,,,
2011-10-07,4985.0,,4555.077668828113,,,
2011-10-08,5409.0,,4677.850338061145,,,
2011-10-09,5511.0,,4223.540026387495,,,
2011-10-10,5117.0,,4243.814274185875,,,
2011-10-11,4563.0,,4195.358256984782,,,
2011-10-12,2416.0,,3826.409044852426,,,
2011-10-13,2913.0,,4214.399213402243,,,
2011-10-14,3644.0,,4634.211637595727,,,
2011-10-15,5217.0,,5241.854334212514,,,
2011-10-16,5041.0,,4785.834401200457,,,
2011-10-17,4570.0,,4744.750475419441,,,
2011-10-18,4748.0,,4329.345339181869,,,
2011-10-19,2424.0,,3818.175980386962,,,
2011-11-01,4068.0,,3640.0396770380585,,,
2011-11-02,4186.0,,3443.423525963235,,,
2011-11-03,3974.0,,3773.112659937375,,,
2011-11-04,4046.0,,4034.1272669330706,,,
2011-11-05,3926.0,,4102.248555846611,,,
2011-11-06,3649.0,,3085.0398884226342,,,
2011-11-07,4035.0,,3346.340589994733,,,
2011-11-08,4205.0,,3459.6229251200502,,,
2011-11-09,4109.0,,3324.362524399464,,,
2011-11-10,2933.0,,3212.5443045011043,,,
2011-11-11,3368.0,,3858.9845831296634,,,
2011-11-12,4067.0,,4031.727194684959,,,
2011-11-13,3717.0,,4210.862506165815,,,
2011-11-14,4486.0,,4354.532057629562,,,
2011-11-15,4195.0,,3998.1382289832613,,,
2011-11-16,1817.0,,2966.410061383301,,,
2011-11-17,3053.0,,3635.49000351602,,,
2011-11-18,3392.0,,3869.62752659593,,,
2011-11-19,3663.0,,3953.777874205752,,,
2011-12-01,3727.0,,3477.57086313984,,,
2011-12-02,3940.0,,3239.283551469276,,,
2011-12-03,3614.0,,3323.376086242532,,,
2011-12-04,3485.0,,2512.1763135897763,,,
2011-12-05,3811.0,,2737.6323890639524,,,
2011-12-06,2594.0,,2672.069711830018,,,
2011-12-07,705.0,,2392.525796795986,,,
2011-12-08,3322.0,,3045.2521267863876,,,
2011-12-09,3620.0,,2872.42565514189,,,
2011-12-10,3190.0,,3474.246122383149,,,
2011-12-11,2743.0,,2812.899671869922,,,
2011-12-12,3310.0,,2490.513121489561,,,
2011-12-13,3523.0,,2882.6579487393733,,,
2011-12-14,3740.0,,2844.4754339492065,,,
2011-12-15,3709.0,,3557.243970358394,,,
2011-12-16,3577.0,,3798.654930610328,,,
2011-12-17,2739.0,,3215.7207172628514,,,
2011-12-18,2431.0,,2585.1780220509,,,
2011-12-19,3403.0,,2742.9006059332996,,,
2012-01-01,2294.0,,2893.4659201616587,,,
2012-01-02,1951.0,,3285.019998963149,,,
2012-01-03,2236.0,,2752.568834063081,,,
2012-01-04,2368.0,,2671.914991115881,,,
2012-01-05,3272.0,,3223.670265461801,,,
2012-01-06,4098.0,,3548.3793324682483,,,
2012-01-07,4521.0,,3975.6778090129155,,,
2012-01-08,3425.0,,3464.969746545566,,,
2012-01-09,2376.0,,2401.4580726093923,,,
2012-01-10,3598.0,,2912.0308770306874,,,
2012-01-11,2177.0,,2197.4879677749364,,,
2012-01-12,4097.0,,2981.6644275072604,,,
2012-01-13,3214.0,,3438.419658181211,,,
2012-01-14,2493.0,,3294.4390711275155,,,
2012-01-15,2311.0,,2893.5205557438694,,,
2012-01-16,2298.0,,2607.2391323931606,,,
2012-01-17,2935.0,,3062.683955384184,,,
2012-01-18,3376.0,,3590.453888458537,,,
2012-01-19,3292.0,,3086.9175269890466,,,
2012-02-01,4579.0,,4316.5610520741775,,,
2012-02-02,3761.0,,3683.7176261588716,,,
2012-02-03,4151.0,,3805.932209645109,,,
2012-02-04,2832.0,,2974.639628335605,,,
2012-02-05,2947.0,,2803.1669500760627,,,
2012-02-06,3784.0,,3224.7603967449013,,,
2012-02-07,4375.0,,3892.2050531334926,,,
2012-02-08,2802.0,,2824.4724773236812,,,
2012-02-09,3830.0,,3507.7521754243257,,,
2012-02-10,3831.0,,3722.4352019098314,,,
2012-02-11,2169.0,,3040.8533342138253,,,
2012-02-12,1529.0,,2944.804545750105,,,
2012-02-13,3422.0,,3683.373892630648,,,
2012-02-14,3922.0,,3805.6169054362294,,,
2012-02-15,4169.0,,3912.493417746675,,,
2012-02-16,3005.0,,3287.7901559960105,,,
2012-02-17,4154.0,,3836.991898418565,,,
2012-02-18,4318.0,,4287.096011743753,,,
2012-02-19,2689.0,,3595.696330921918,,,
2012-03-01,4990.0,,4713.304694966596,,,
2012-03-02,3194.0,,4077.226010809617,,,
2012-03-03,4066.0,,4600.54144396399,,,
2012-03-04,3423.0,,4403.525816355743,,,
2012-03-05,3333.0,,3887.133191745509,,,
2012-03-06,3956.0,,4081.6002704005386,,,
2012-03-07,4916.0,,4618.5195141126305,,,
2012-03-08,5382.0,,5191.965460590295,,,
2012-03-09,4569.0,,5225.899633335874,,,
2012-03-10,4118.0,,4983.605830133451,,,
2012-03-11,4911.0,,4503.45412321014,,,
2012-03-12,5298.0,,5100.7212401746565,,,
2012-03-13,5847.0,,5147.008098851242,,,
2012-03-14,6312.0,,5556.422228672001,,,
2012-03-15,6192.0,,5454.847711245358,,,
2012-03-16,4378.0,,4219.394711224599,,,
2012-03-17,7836.0,,4974.221160968776,,,
2012-03-18,5892.0,,4187.717430067412,,,
2012-03-19,6153.0,,4916.673444968477,,,
2012-04-01,6041.0,,4737.167779204273,,,
2012-04-02,5936.0,,5445.199150950104,,,
2012-04-03,6772.0,,5895.961849946254,,,
2012-04-04,6436.0,,6070.454529828433,,,
2012-04-05,6457.0,,6054.152640958401,,,
2012-04-06,6460.0,,5992.167132474022,,,
2012-04-07,6857.0,,6657.827931085579,,,
2012-04-08,5169.0,,6437.280568675322,,,
2012-04-09,5585.0,,6428.720654764762,,,
2012-04-10,5918.0,,5874.773231599142,,,
2012-04-11,4862.0,,5382.571879558155,,,
2012-04-12,5409.0,,5792.909051352325,,,
2012-04-13,6398.0,,6254.160003523619,,,
2012-04-14,7460.0,,6358.406292661706,,,
2012-04-15,7132.0,,6406.500934288437,,,
2012-04-16,6370.0,,6433.993885905647,,,
2012-04-17,6691.0,,6904.110014437829,,,
2012-04-18,4367.0,,5771.945079539275,,,
2012-04-19,6565.0,,5979.708580072441,,,
2012-05-01,5740.0,,6398.538185922246,,,
2012-05-02,6169.0,,5810.884766299,,,
2012-05-03,6421.0,,6046.08713155073,,,
2012-05-04,6296.0,,6522.568021092492,,,
2012-05-05,6883.0,,6567.98025509983,,,
2012-05-06,6359.0,,5897.714160621736,,,
2012-05-07,6273.0,,6156.5268394107725,,,
2012-05-08,5728.0,,6259.311773296003,,,
2012-05-09,4717.0,,6090.955788169267,,,
2012-05-10,6572.0,,6509.901699622536,,,
2012-05-11,7030.0,,7269.066628374533,,,
2012-05-12,7429.0,,7181.9351530596705,,,
2012-05-13,6118.0,,6657.36804302179,,,
2012-05-14,2843.0,,5992.417049499047,,,
2012-05-15,5115.0,,6111.952383006756,,,
2012-05-16,7424.0,,6537.605430713499,,,
2012-05-17,7384.0,,7024.776200929314,,,
